,pKa
4qsx/4qsx_cplx.pdb, 1.74
5y62/5y62_cplx.pdb, 1.74
5ggj/5ggj_cplx.pdb, 1.75
1s8j/1s8j_cplx.pdb, 1.77
4bgx/4bgx_cplx.pdb, 1.77
3f39/3f39_cplx.pdb, 1.78
5ggl/5ggl_cplx.pdb, 1.78
2zgm/2zgm_cplx.pdb, 1.79
1ga8/1ga8_cplx.pdb, 1.80
3rxh/3rxh_cplx.pdb, 1.80
1af6/1af6_cplx.pdb, 1.82
1bra/1bra_cplx.pdb, 1.82
1d5r/1d5r_cplx.pdb, 1.82
1y1m/1y1m_cplx.pdb, 1.82
3eqb/3eqb_cplx.pdb, 1.82
4ahv/4ahv_cplx.pdb, 1.82
1rdn/1rdn_cplx.pdb, 1.84
1fd7/1fd7_cplx.pdb, 1.85
3khv/3khv_cplx.pdb, 1.85
1mwt/1mwt_cplx.pdb, 1.88
1tnl/1tnl_cplx.pdb, 1.88
2ay2/2ay2_cplx.pdb, 1.88
4x8s/4x8s_cplx.pdb, 1.89
1f2p/1f2p_cplx.pdb, 1.90
4mrh/4mrh_cplx.pdb, 1.90
1f2o/1f2o_cplx.pdb, 1.91
1efi/1efi_cplx.pdb, 1.92
3ehn/3ehn_cplx.pdb, 1.92
4bh3/4bh3_cplx.pdb, 1.92
2rjr/2rjr_cplx.pdb, 1.94
5nn4/5nn4_cplx.pdb, 1.94
4mrf/4mrf_cplx.pdb, 1.95
1tnj/1tnj_cplx.pdb, 1.96
2gga/2gga_cplx.pdb, 1.96
5oxn/5oxn_cplx.pdb, 1.96
1wdq/1wdq_cplx.pdb, 1.98
3i3d/3i3d_cplx.pdb, 1.99
1gbt/1gbt_cplx.pdb, 2.00
1ing/1ing_cplx.pdb, 2.00
2bmv/2bmv_cplx.pdb, 2.00
2hds/2hds_cplx.pdb, 2.00
2r58/2r58_cplx.pdb, 2.00
3c2f/3c2f_cplx.pdb, 2.00
3g2y/3g2y_cplx.pdb, 2.00
3pce/3pce_cplx.pdb, 2.00
3rv3/3rv3_cplx.pdb, 2.00
4awj/4awj_cplx.pdb, 2.00
4ctk/4ctk_cplx.pdb, 2.00
4kz5/4kz5_cplx.pdb, 2.00
4qsu/4qsu_cplx.pdb, 2.00
4qsv/4qsv_cplx.pdb, 2.00
4u58/4u58_cplx.pdb, 2.00
4y4g/4y4g_cplx.pdb, 2.00
6evq/6evq_cplx.pdb, 2.00
4ty8/4ty8_cplx.pdb, 2.03
5ekx/5ekx_cplx.pdb, 2.03
5nzq/5nzq_cplx.pdb, 2.03
2ks9/2ks9_cplx.pdb, 2.04
1jfh/1jfh_cplx.pdb, 2.05
4e4a/4e4a_cplx.pdb, 2.05
4ty9/4ty9_cplx.pdb, 2.05
4x8t/4x8t_cplx.pdb, 2.05
5eiw/5eiw_cplx.pdb, 2.05
1qq9/1qq9_cplx.pdb, 2.06
1rdi/1rdi_cplx.pdb, 2.06
2zg3/2zg3_cplx.pdb, 2.06
4u54/4u54_cplx.pdb, 2.06
3ao4/3ao4_cplx.pdb, 2.07
4b0c/4b0c_cplx.pdb, 2.07
3rxp/3rxp_cplx.pdb, 2.08
5tyh/5tyh_cplx.pdb, 2.08
1njj/1njj_cplx.pdb, 2.10
2zg1/2zg1_cplx.pdb, 2.10
4aml/4aml_cplx.pdb, 2.10
4cs9/4cs9_cplx.pdb, 2.10
3uf9/3uf9_cplx.pdb, 2.11
1qx1/1qx1_cplx.pdb, 2.12
2w8w/2w8w_cplx.pdb, 2.12
3gv9/3gv9_cplx.pdb, 2.12
1p2g/1p2g_cplx.pdb, 2.13
1uxb/1uxb_cplx.pdb, 2.15
3rxg/3rxg_cplx.pdb, 2.15
4b0j/4b0j_cplx.pdb, 2.15
4q90/4q90_cplx.pdb, 2.15
5cs3/5cs3_cplx.pdb, 2.15
6fap/6fap_cplx.pdb, 2.15
6fi1/6fi1_cplx.pdb, 2.15
2ay9/2ay9_cplx.pdb, 2.16
4tim/4tim_cplx.pdb, 2.16
5fe6/5fe6_cplx.pdb, 2.16
6ghj/6ghj_cplx.pdb, 2.16
3gqz/3gqz_cplx.pdb, 2.17
4y3j/4y3j_cplx.pdb, 2.17
5oxk/5oxk_cplx.pdb, 2.17
5z5f/5z5f_cplx.pdb, 2.17
6gmx/6gmx_cplx.pdb, 2.17
3l7d/3l7d_cplx.pdb, 2.18
6g47/6g47_cplx.pdb, 2.18
4ahr/4ahr_cplx.pdb, 2.19
4ahs/4ahs_cplx.pdb, 2.19
4amx/4amx_cplx.pdb, 2.19
4jdf/4jdf_cplx.pdb, 2.19
4mre/4mre_cplx.pdb, 2.19
5nzp/5nzp_cplx.pdb, 2.19
1w1v/1w1v_cplx.pdb, 2.20
2vvo/2vvo_cplx.pdb, 2.20
4eh8/4eh8_cplx.pdb, 2.20
1x8d/1x8d_cplx.pdb, 2.21
4g0z/4g0z_cplx.pdb, 2.21
1icj/1icj_cplx.pdb, 2.22
1m0n/1m0n_cplx.pdb, 2.22
2aac/2aac_cplx.pdb, 2.22
4aci/4aci_cplx.pdb, 2.22
4uru/4uru_cplx.pdb, 2.22
4ury/4ury_cplx.pdb, 2.22
4x11/4x11_cplx.pdb, 2.22
5fsb/5fsb_cplx.pdb, 2.22
5hcl/5hcl_cplx.pdb, 2.22
5jqb/5jqb_cplx.pdb, 2.22
1ajp/1ajp_cplx.pdb, 2.23
2igv/2igv_cplx.pdb, 2.23
3ao5/3ao5_cplx.pdb, 2.23
3i3b/3i3b_cplx.pdb, 2.23
1rdl/1rdl_cplx.pdb, 2.24
2ay8/2ay8_cplx.pdb, 2.24
2os9/2os9_cplx.pdb, 2.24
5f6v/5f6v_cplx.pdb, 2.24
5m9w/5m9w_cplx.pdb, 2.24
5nzo/5nzo_cplx.pdb, 2.24
1ukt/1ukt_cplx.pdb, 2.25
1ew8/1ew8_cplx.pdb, 2.26
3ao1/3ao1_cplx.pdb, 2.26
4eh9/4eh9_cplx.pdb, 2.26
4np2/4np2_cplx.pdb, 2.26
5v6u/5v6u_cplx.pdb, 2.26
1hge/1hge_cplx.pdb, 2.27
1uto/1uto_cplx.pdb, 2.27
4ahu/4ahu_cplx.pdb, 2.27
4mfe/4mfe_cplx.pdb, 2.27
1ps3/1ps3_cplx.pdb, 2.28
2rjs/2rjs_cplx.pdb, 2.28
3fu0/3fu0_cplx.pdb, 2.28
3ip8/3ip8_cplx.pdb, 2.28
2ay1/2ay1_cplx.pdb, 2.29
4ddk/4ddk_cplx.pdb, 2.29
4ehv/4ehv_cplx.pdb, 2.29
5fnj/5fnj_cplx.pdb, 2.29
1hyv/1hyv_cplx.pdb, 2.30
1inh/1inh_cplx.pdb, 2.30
1jdj/1jdj_cplx.pdb, 2.30
1n1g/1n1g_cplx.pdb, 2.30
1o4g/1o4g_cplx.pdb, 2.30
1uxa/1uxa_cplx.pdb, 2.30
1w1p/1w1p_cplx.pdb, 2.30
2ay7/2ay7_cplx.pdb, 2.30
2hdu/2hdu_cplx.pdb, 2.30
2xix/2xix_cplx.pdb, 2.30
2xlc/2xlc_cplx.pdb, 2.30
3dyo/3dyo_cplx.pdb, 2.30
3kgq/3kgq_cplx.pdb, 2.30
3mhw/3mhw_cplx.pdb, 2.30
3pcg/3pcg_cplx.pdb, 2.30
3rv4/3rv4_cplx.pdb, 2.30
4b6e/4b6e_cplx.pdb, 2.30
4e3d/4e3d_cplx.pdb, 2.30
4g0y/4g0y_cplx.pdb, 2.30
4jsz/4jsz_cplx.pdb, 2.30
4led/4led_cplx.pdb, 2.30
4wh7/4wh7_cplx.pdb, 2.30
5enc/5enc_cplx.pdb, 2.30
5eni/5eni_cplx.pdb, 2.30
5enj/5enj_cplx.pdb, 2.30
5g42/5g42_cplx.pdb, 2.30
6gmq/6gmq_cplx.pdb, 2.30
1m0o/1m0o_cplx.pdb, 2.31
4y0a/4y0a_cplx.pdb, 2.31
5mz8/5mz8_cplx.pdb, 2.31
2qve/2qve_cplx.pdb, 2.32
5aol/5aol_cplx.pdb, 2.32
1z6d/1z6d_cplx.pdb, 2.34
4iie/4iie_cplx.pdb, 2.34
5elf/5elf_cplx.pdb, 2.34
1qi0/1qi0_cplx.pdb, 2.35
3gtc/3gtc_cplx.pdb, 2.35
4k3k/4k3k_cplx.pdb, 2.35
4y3y/4y3y_cplx.pdb, 2.35
1o4j/1o4j_cplx.pdb, 2.36
3g2z/3g2z_cplx.pdb, 2.36
5fsc/5fsc_cplx.pdb, 2.36
3t0d/3t0d_cplx.pdb, 2.37
4jck/4jck_cplx.pdb, 2.37
6rnt/6rnt_cplx.pdb, 2.37
3f6e/3f6e_cplx.pdb, 2.38
4aj2/4aj2_cplx.pdb, 2.38
1f73/1f73_cplx.pdb, 2.39
1nwl/1nwl_cplx.pdb, 2.39
4nyt/4nyt_cplx.pdb, 2.39
4tya/4tya_cplx.pdb, 2.39
1cam/1cam_cplx.pdb, 2.40
2wi1/2wi1_cplx.pdb, 2.40
3dxg/3dxg_cplx.pdb, 2.40
3l7b/3l7b_cplx.pdb, 2.40
3pcb/3pcb_cplx.pdb, 2.40
3t2t/3t2t_cplx.pdb, 2.40
4u5l/4u5l_cplx.pdb, 2.40
4y38/4y38_cplx.pdb, 2.40
4zsm/4zsm_cplx.pdb, 2.40
1o4r/1o4r_cplx.pdb, 2.41
2wsx/2wsx_cplx.pdb, 2.41
4u5s/4u5s_cplx.pdb, 2.41
4u5o/4u5o_cplx.pdb, 2.42
5os3/5os3_cplx.pdb, 2.43
1o4h/1o4h_cplx.pdb, 2.44
1oba/1oba_cplx.pdb, 2.44
1t4s/1t4s_cplx.pdb, 2.44
2i2b/2i2b_cplx.pdb, 2.44
2xiy/2xiy_cplx.pdb, 2.44
3ked/3ked_cplx.pdb, 2.44
3l7c/3l7c_cplx.pdb, 2.44
3mjl/3mjl_cplx.pdb, 2.44
4d62/4d62_cplx.pdb, 2.44
1gbq/1gbq_cplx.pdb, 2.46
1o4o/1o4o_cplx.pdb, 2.46
2aez/2aez_cplx.pdb, 2.46
3l79/3l79_cplx.pdb, 2.46
4ah9/4ah9_cplx.pdb, 2.46
4ddm/4ddm_cplx.pdb, 2.46
4eh6/4eh6_cplx.pdb, 2.46
4x8u/4x8u_cplx.pdb, 2.46
5aqh/5aqh_cplx.pdb, 2.46
1tok/1tok_cplx.pdb, 2.47
1utl/1utl_cplx.pdb, 2.47
3rik/3rik_cplx.pdb, 2.47
4gne/4gne_cplx.pdb, 2.47
4y4j/4y4j_cplx.pdb, 2.47
5dv4/5dv4_cplx.pdb, 2.47
5jal/5jal_cplx.pdb, 2.47
6fhq/6fhq_cplx.pdb, 2.47
1gyx/1gyx_cplx.pdb, 2.48
4u5n/4u5n_cplx.pdb, 2.48
4ze6/4ze6_cplx.pdb, 2.48
5mn1/5mn1_cplx.pdb, 2.48
5mnb/5mnb_cplx.pdb, 2.48
5mnx/5mnx_cplx.pdb, 2.48
5mon/5mon_cplx.pdb, 2.48
1o4q/1o4q_cplx.pdb, 2.49
4efk/4efk_cplx.pdb, 2.49
4ej2/4ej2_cplx.pdb, 2.49
4kz7/4kz7_cplx.pdb, 2.49
1ai4/1ai4_cplx.pdb, 2.50
3g30/3g30_cplx.pdb, 2.51
4ctj/4ctj_cplx.pdb, 2.51
1rq2/1rq2_cplx.pdb, 2.52
1wdr/1wdr_cplx.pdb, 2.52
3ad7/3ad7_cplx.pdb, 2.52
3bf1/3bf1_cplx.pdb, 2.52
3fq7/3fq7_cplx.pdb, 2.52
3gr2/3gr2_cplx.pdb, 2.52
3mfv/3mfv_cplx.pdb, 2.52
3vdb/3vdb_cplx.pdb, 2.52
4e3f/4e3f_cplx.pdb, 2.52
4g0q/4g0q_cplx.pdb, 2.52
4urz/4urz_cplx.pdb, 2.52
5f6d/5f6d_cplx.pdb, 2.52
5f6u/5f6u_cplx.pdb, 2.52
4hj2/4hj2_cplx.pdb, 2.53
1iup/1iup_cplx.pdb, 2.54
1il3/1il3_cplx.pdb, 2.55
1kf0/1kf0_cplx.pdb, 2.55
3b3s/3b3s_cplx.pdb, 2.55
3ovn/3ovn_cplx.pdb, 2.55
5eif/5eif_cplx.pdb, 2.55
5n53/5n53_cplx.pdb, 2.55
5os0/5os0_cplx.pdb, 2.55
1gwv/1gwv_cplx.pdb, 2.57
2ria/2ria_cplx.pdb, 2.57
2wq4/2wq4_cplx.pdb, 2.57
3kgp/3kgp_cplx.pdb, 2.57
5v4q/5v4q_cplx.pdb, 2.57
2ay5/2ay5_cplx.pdb, 2.59
2jst/2jst_cplx.pdb, 2.59
3gvb/3gvb_cplx.pdb, 2.59
4o3a/4o3a_cplx.pdb, 2.59
4o3c/4o3c_cplx.pdb, 2.59
4wef/4wef_cplx.pdb, 2.59
5tpb/5tpb_cplx.pdb, 2.59
1o4p/1o4p_cplx.pdb, 2.60
2c4v/2c4v_cplx.pdb, 2.60
2r5a/2r5a_cplx.pdb, 2.60
3gwv/3gwv_cplx.pdb, 2.60
3rxf/3rxf_cplx.pdb, 2.60
4up5/4up5_cplx.pdb, 2.60
5g46/5g46_cplx.pdb, 2.60
1cze/1cze_cplx.pdb, 2.62
1w1y/1w1y_cplx.pdb, 2.62
2kfh/2kfh_cplx.pdb, 2.62
3f37/3f37_cplx.pdb, 2.62
3f38/3f38_cplx.pdb, 2.62
3fk1/3fk1_cplx.pdb, 2.62
3rxl/3rxl_cplx.pdb, 2.62
4lnf/4lnf_cplx.pdb, 2.62
4lno/4lno_cplx.pdb, 2.62
5foo/5foo_cplx.pdb, 2.62
5lvd/5lvd_cplx.pdb, 2.62
1ajn/1ajn_cplx.pdb, 2.63
1g5f/1g5f_cplx.pdb, 2.64
1o4i/1o4i_cplx.pdb, 2.64
3p1d/3p1d_cplx.pdb, 2.64
4i8x/4i8x_cplx.pdb, 2.64
4q7w/4q7w_cplx.pdb, 2.64
4q8y/4q8y_cplx.pdb, 2.64
4ufl/4ufl_cplx.pdb, 2.64
6fhu/6fhu_cplx.pdb, 2.64
5ey0/5ey0_cplx.pdb, 2.65
1il5/1il5_cplx.pdb, 2.66
3a1e/3a1e_cplx.pdb, 2.66
3rxb/3rxb_cplx.pdb, 2.66
4y2p/4y2p_cplx.pdb, 2.66
5eld/5eld_cplx.pdb, 2.66
3lvw/3lvw_cplx.pdb, 2.67
1hgi/1hgi_cplx.pdb, 2.68
1o8b/1o8b_cplx.pdb, 2.68
2q72/2q72_cplx.pdb, 2.68
3rxk/3rxk_cplx.pdb, 2.68
4b3c/4b3c_cplx.pdb, 2.68
4b3d/4b3d_cplx.pdb, 2.68
5aqj/5aqj_cplx.pdb, 2.68
5aqp/5aqp_cplx.pdb, 2.68
3elc/3elc_cplx.pdb, 2.69
4usw/4usw_cplx.pdb, 2.69
5k5s/5k5s_cplx.pdb, 2.69
1br5/1br5_cplx.pdb, 2.70
1gym/1gym_cplx.pdb, 2.70
1lt5/1lt5_cplx.pdb, 2.70
1tc1/1tc1_cplx.pdb, 2.70
1ylv/1ylv_cplx.pdb, 2.70
2fzc/2fzc_cplx.pdb, 2.70
2ha4/2ha4_cplx.pdb, 2.70
2krd/2krd_cplx.pdb, 2.70
2ohk/2ohk_cplx.pdb, 2.70
2ow6/2ow6_cplx.pdb, 2.70
2uyn/2uyn_cplx.pdb, 2.70
3bra/3bra_cplx.pdb, 2.70
3ftz/3ftz_cplx.pdb, 2.70
3fud/3fud_cplx.pdb, 2.70
3fuf/3fuf_cplx.pdb, 2.70
3fuh/3fuh_cplx.pdb, 2.70
3gk2/3gk2_cplx.pdb, 2.70
3gsg/3gsg_cplx.pdb, 2.70
3hvg/3hvg_cplx.pdb, 2.70
3rqw/3rqw_cplx.pdb, 2.70
3sl0/3sl0_cplx.pdb, 2.70
3zsw/3zsw_cplx.pdb, 2.70
3zsz/3zsz_cplx.pdb, 2.70
3zt1/3zt1_cplx.pdb, 2.70
4h4b/4h4b_cplx.pdb, 2.70
4okp/4okp_cplx.pdb, 2.70
4old/4old_cplx.pdb, 2.70
4wks/4wks_cplx.pdb, 2.70
4ypf/4ypf_cplx.pdb, 2.70
4yrc/4yrc_cplx.pdb, 2.70
4yrg/4yrg_cplx.pdb, 2.70
4yrr/4yrr_cplx.pdb, 2.70
5aok/5aok_cplx.pdb, 2.70
6fty/6fty_cplx.pdb, 2.70
4kpz/4kpz_cplx.pdb, 2.71
1pfu/1pfu_cplx.pdb, 2.72
2rkd/2rkd_cplx.pdb, 2.72
3p4r/3p4r_cplx.pdb, 2.72
5fsx/5fsx_cplx.pdb, 2.72
1dg9/1dg9_cplx.pdb, 2.74
2qwb/2qwb_cplx.pdb, 2.74
2vyt/2vyt_cplx.pdb, 2.74
4m6u/4m6u_cplx.pdb, 2.74
4ndu/4ndu_cplx.pdb, 2.74
5os2/5os2_cplx.pdb, 2.74
1rql/1rql_cplx.pdb, 2.75
5oyd/5oyd_cplx.pdb, 2.75
1ny2/1ny2_cplx.pdb, 2.76
4bt5/4bt5_cplx.pdb, 2.76
5er4/5er4_cplx.pdb, 2.76
2bet/2bet_cplx.pdb, 2.77
2p3o/2p3o_cplx.pdb, 2.77
3fcq/3fcq_cplx.pdb, 2.77
3l0n/3l0n_cplx.pdb, 2.77
4a4h/4a4h_cplx.pdb, 2.77
4g5y/4g5y_cplx.pdb, 2.77
4kz3/4kz3_cplx.pdb, 2.77
4urv/4urv_cplx.pdb, 2.77
4ykk/4ykk_cplx.pdb, 2.77
5aqn/5aqn_cplx.pdb, 2.77
5oug/5oug_cplx.pdb, 2.77
6er4/6er4_cplx.pdb, 2.77
2yiv/2yiv_cplx.pdb, 2.78
3ftw/3ftw_cplx.pdb, 2.78
4yrt/4yrt_cplx.pdb, 2.78
5os4/5os4_cplx.pdb, 2.78
2bge/2bge_cplx.pdb, 2.80
2bza/2bza_cplx.pdb, 2.80
3zt4/3zt4_cplx.pdb, 2.80
4kz8/4kz8_cplx.pdb, 2.80
4urw/4urw_cplx.pdb, 2.80
4yw2/4yw2_cplx.pdb, 2.80
5fbi/5fbi_cplx.pdb, 2.80
5fov/5fov_cplx.pdb, 2.80
5hki/5hki_cplx.pdb, 2.80
5ofw/5ofw_cplx.pdb, 2.80
3djx/3djx_cplx.pdb, 2.81
4eh4/4eh4_cplx.pdb, 2.81
4oyt/4oyt_cplx.pdb, 2.81
4rrg/4rrg_cplx.pdb, 2.81
1czc/1czc_cplx.pdb, 2.82
1p17/1p17_cplx.pdb, 2.82
2a3a/2a3a_cplx.pdb, 2.82
2rib/2rib_cplx.pdb, 2.82
2w6z/2w6z_cplx.pdb, 2.82
2xj0/2xj0_cplx.pdb, 2.82
2yc0/2yc0_cplx.pdb, 2.82
3fue/3fue_cplx.pdb, 2.82
3lka/3lka_cplx.pdb, 2.82
3ppr/3ppr_cplx.pdb, 2.82
4dsu/4dsu_cplx.pdb, 2.82
4k7i/4k7i_cplx.pdb, 2.82
4pb1/4pb1_cplx.pdb, 2.82
4z46/4z46_cplx.pdb, 2.82
5aip/5aip_cplx.pdb, 2.82
6cw4/6cw4_cplx.pdb, 2.82
6evm/6evm_cplx.pdb, 2.82
6mj7/6mj7_cplx.pdb, 2.82
4yz5/4yz5_cplx.pdb, 2.83
3fu3/3fu3_cplx.pdb, 2.84
3moh/3moh_cplx.pdb, 2.84
3zt2/3zt2_cplx.pdb, 2.84
4cgj/4cgj_cplx.pdb, 2.84
1il4/1il4_cplx.pdb, 2.85
2a29/2a29_cplx.pdb, 2.85
2ork/2ork_cplx.pdb, 2.85
3atk/3atk_cplx.pdb, 2.85
3k3g/3k3g_cplx.pdb, 2.85
3rxa/3rxa_cplx.pdb, 2.85
3udh/3udh_cplx.pdb, 2.85
4luv/4luv_cplx.pdb, 2.85
4mlt/4mlt_cplx.pdb, 2.85
4x47/4x47_cplx.pdb, 2.85
4ym2/4ym2_cplx.pdb, 2.85
5aqo/5aqo_cplx.pdb, 2.85
5th4/5th4_cplx.pdb, 2.85
3qx8/3qx8_cplx.pdb, 2.86
3zt3/3zt3_cplx.pdb, 2.86
4ouj/4ouj_cplx.pdb, 2.86
4pd5/4pd5_cplx.pdb, 2.86
5z1c/5z1c_cplx.pdb, 2.86
4fgz/4fgz_cplx.pdb, 2.87
5thj/5thj_cplx.pdb, 2.87
1e34/1e34_cplx.pdb, 2.88
2woq/2woq_cplx.pdb, 2.88
4a4f/4a4f_cplx.pdb, 2.88
4ucv/4ucv_cplx.pdb, 2.88
1cet/1cet_cplx.pdb, 2.89
1iih/1iih_cplx.pdb, 2.89
1ugp/1ugp_cplx.pdb, 2.89
2k2r/2k2r_cplx.pdb, 2.89
2wpb/2wpb_cplx.pdb, 2.89
2wtx/2wtx_cplx.pdb, 2.89
3f36/3f36_cplx.pdb, 2.89
3g31/3g31_cplx.pdb, 2.89
4b35/4b35_cplx.pdb, 2.89
4cd8/4cd8_cplx.pdb, 2.89
4gqq/4gqq_cplx.pdb, 2.89
4kzb/4kzb_cplx.pdb, 2.89
4llx/4llx_cplx.pdb, 2.89
4u5u/4u5u_cplx.pdb, 2.89
4urx/4urx_cplx.pdb, 2.89
5aes/5aes_cplx.pdb, 2.89
5flt/5flt_cplx.pdb, 2.89
5ngz/5ngz_cplx.pdb, 2.89
5orv/5orv_cplx.pdb, 2.89
6b7b/6b7b_cplx.pdb, 2.89
6f6s/6f6s_cplx.pdb, 2.89
6mvu/6mvu_cplx.pdb, 2.89
3c2u/3c2u_cplx.pdb, 2.90
5aom/5aom_cplx.pdb, 2.90
5dv2/5dv2_cplx.pdb, 2.90
1ms0/1ms0_cplx.pdb, 2.91
2ay4/2ay4_cplx.pdb, 2.91
2pri/2pri_cplx.pdb, 2.91
4kc1/4kc1_cplx.pdb, 2.91
1eef/1eef_cplx.pdb, 2.92
1h2k/1h2k_cplx.pdb, 2.92
1o4k/1o4k_cplx.pdb, 2.92
1p6e/1p6e_cplx.pdb, 2.92
1zp5/1zp5_cplx.pdb, 2.92
2aa9/2aa9_cplx.pdb, 2.92
2aay/2aay_cplx.pdb, 2.92
2fkf/2fkf_cplx.pdb, 2.92
2fw6/2fw6_cplx.pdb, 2.92
2fwp/2fwp_cplx.pdb, 2.92
2kfg/2kfg_cplx.pdb, 2.92
3alt/3alt_cplx.pdb, 2.92
3iaf/3iaf_cplx.pdb, 2.92
3k8c/3k8c_cplx.pdb, 2.92
4ai5/4ai5_cplx.pdb, 2.92
4ef6/4ef6_cplx.pdb, 2.92
4lm3/4lm3_cplx.pdb, 2.92
4u4s/4u4s_cplx.pdb, 2.92
4x14/4x14_cplx.pdb, 2.92
4y2q/4y2q_cplx.pdb, 2.92
4zki/4zki_cplx.pdb, 2.92
5c0k/5c0k_cplx.pdb, 2.92
5ct2/5ct2_cplx.pdb, 2.92
5x4m/5x4m_cplx.pdb, 2.92
6fv4/6fv4_cplx.pdb, 2.92
1tng/1tng_cplx.pdb, 2.93
3ftv/3ftv_cplx.pdb, 2.93
4zv2/4zv2_cplx.pdb, 2.93
1p6d/1p6d_cplx.pdb, 2.94
2vmc/2vmc_cplx.pdb, 2.94
4y62/4y62_cplx.pdb, 2.95
1f4e/1f4e_cplx.pdb, 2.96
1w1t/1w1t_cplx.pdb, 2.96
1ykp/1ykp_cplx.pdb, 2.96
2br6/2br6_cplx.pdb, 2.96
2kdh/2kdh_cplx.pdb, 2.96
2w8j/2w8j_cplx.pdb, 2.96
3g34/3g34_cplx.pdb, 2.96
3imc/3imc_cplx.pdb, 2.96
3img/3img_cplx.pdb, 2.96
4bgy/4bgy_cplx.pdb, 2.96
4dst/4dst_cplx.pdb, 2.96
4k3l/4k3l_cplx.pdb, 2.96
4mrg/4mrg_cplx.pdb, 2.96
4owm/4owm_cplx.pdb, 2.96
5fng/5fng_cplx.pdb, 2.96
2hw2/2hw2_cplx.pdb, 2.97
4ceb/4ceb_cplx.pdb, 2.97
5flq/5flq_cplx.pdb, 2.97
2rnw/2rnw_cplx.pdb, 2.98
3ckb/3ckb_cplx.pdb, 2.98
3djq/3djq_cplx.pdb, 2.98
4ibc/4ibc_cplx.pdb, 2.98
5aba/5aba_cplx.pdb, 2.98
5aqu/5aqu_cplx.pdb, 2.98
3ump/3ump_cplx.pdb, 2.99
